Product Name,Generic Name,Drug Class,Size/Variant,Regular Price (PHP),PWD/Senior Price (PHP),Category,Description,Mechanism of Action,Indications/Uses,Dosage Information,Active Ingredients,Important Information,Contraindications,Warnings/Precautions
Conjuvon,Edaravone,Neuroprotective Agent / Free Radical Scavenger,30mg/bag (20 bags),16000,12800,Neuroprotective,Conjuvon (Edaravone) is a low-molecular-weight antioxidant medication that works by scavenging free radicals and inhibiting lipid peroxidation to protect brain cells from oxidative damage. It is specifically designed to delay neurological deterioration in acute ischemic stroke by limiting the extent of neuronal damage or death.,"Acts as a potent free radical scavenger by targeting peroxyl radicals, preventing oxidative stress damage to endothelial cells in cerebral vasculature and neuronal cell membranes. It inhibits lipid peroxidation chain reactions and works synergistically with endogenous antioxidants like ascorbic acid and α-tocopherol.",Treatment and improvement of neurological symptoms in acute ischemic stroke. Must be administered within 24-72 hours of stroke onset for maximum effectiveness.,"30mg per bag, administered intravenously. Typical treatment course: 14-28 days",,Should be used as part of comprehensive stroke management. Effectiveness is time-dependent - early administration yields better outcomes. Reduces early accumulation of oxidative products and sequential inflammatory responses after cerebral ischemia. For hospital use under medical supervision only.,Hypersensitivity to edaravone or any component of the formulation,Must be administered in hospital setting by healthcare professionals. Monitor for allergic reactions. May cause renal or hepatic impairment - monitor organ function.
Conjuvon,Edaravone,Neuroprotective Agent / Free Radical Scavenger,30mg/bag (10 bags),8000,6400,Neuroprotective,Conjuvon (Edaravone) is a low-molecular-weight antioxidant medication that works by scavenging free radicals and inhibiting lipid peroxidation to protect brain cells from oxidative damage. It is specifically designed to delay neurological deterioration in acute ischemic stroke by limiting the extent of neuronal damage or death.,"Acts as a potent free radical scavenger by targeting peroxyl radicals, preventing oxidative stress damage to endothelial cells in cerebral vasculature and neuronal cell membranes. It inhibits lipid peroxidation chain reactions and works synergistically with endogenous antioxidants like ascorbic acid and α-tocopherol.",Treatment and improvement of neurological symptoms in acute ischemic stroke. Must be administered within 24-72 hours of stroke onset for maximum effectiveness.,"30mg per bag, administered intravenously. Typical treatment course: 14-28 days",,Should be used as part of comprehensive stroke management. Effectiveness is time-dependent - early administration yields better outcomes. Reduces early accumulation of oxidative products and sequential inflammatory responses after cerebral ischemia. For hospital use under medical supervision only.,Hypersensitivity to edaravone or any component of the formulation,Must be administered in hospital setting by healthcare professionals. Monitor for allergic reactions. May cause renal or hepatic impairment - monitor organ function.
Conjuvon,Edaravone,Neuroprotective Agent / Free Radical Scavenger,30mg/bag (5 bags),4000,3200,Neuroprotective,Conjuvon (Edaravone) is a low-molecular-weight antioxidant medication that works by scavenging free radicals and inhibiting lipid peroxidation to protect brain cells from oxidative damage. It is specifically designed to delay neurological deterioration in acute ischemic stroke by limiting the extent of neuronal damage or death.,"Acts as a potent free radical scavenger by targeting peroxyl radicals, preventing oxidative stress damage to endothelial cells in cerebral vasculature and neuronal cell membranes. It inhibits lipid peroxidation chain reactions and works synergistically with endogenous antioxidants like ascorbic acid and α-tocopherol.",Treatment and improvement of neurological symptoms in acute ischemic stroke. Must be administered within 24-72 hours of stroke onset for maximum effectiveness.,"30mg per bag, administered intravenously. Typical treatment course: 14-28 days",,Should be used as part of comprehensive stroke management. Effectiveness is time-dependent - early administration yields better outcomes. Reduces early accumulation of oxidative products and sequential inflammatory responses after cerebral ischemia. For hospital use under medical supervision only.,Hypersensitivity to edaravone or any component of the formulation,Must be administered in hospital setting by healthcare professionals. Monitor for allergic reactions. May cause renal or hepatic impairment - monitor organ function.
Conjuvon,Edaravone,Neuroprotective Agent / Free Radical Scavenger,30mg/bag (1 bag),2000,1600,Neuroprotective,Conjuvon (Edaravone) is a low-molecular-weight antioxidant medication that works by scavenging free radicals and inhibiting lipid peroxidation to protect brain cells from oxidative damage. It is specifically designed to delay neurological deterioration in acute ischemic stroke by limiting the extent of neuronal damage or death.,"Acts as a potent free radical scavenger by targeting peroxyl radicals, preventing oxidative stress damage to endothelial cells in cerebral vasculature and neuronal cell membranes. It inhibits lipid peroxidation chain reactions and works synergistically with endogenous antioxidants like ascorbic acid and α-tocopherol.",Treatment and improvement of neurological symptoms in acute ischemic stroke. Must be administered within 24-72 hours of stroke onset for maximum effectiveness.,"30mg per bag, administered intravenously. Typical treatment course: 14-28 days",,Should be used as part of comprehensive stroke management. Effectiveness is time-dependent - early administration yields better outcomes. Reduces early accumulation of oxidative products and sequential inflammatory responses after cerebral ischemia. For hospital use under medical supervision only.,Hypersensitivity to edaravone or any component of the formulation,Must be administered in hospital setting by healthcare professionals. Monitor for allergic reactions. May cause renal or hepatic impairment - monitor organ function.
Neuro8,Food Supplement,Herbal/Natural Food Supplement,30 capsules (1 box),6240,4992,Food Supplement,"Neuro8 is a FDA-registered food supplement combining 9 traditional herbal ingredients in one formulation. It is designed to support brain health by potentially stimulating brain cell growth and improving cerebral blood flow using natural, plant-based ingredients rooted in traditional medicine.","Contains a proprietary blend of nine herbal ingredients that work synergistically to support neurological function and cerebral circulation through various phytochemical pathways including antioxidant, anti-inflammatory, and neuroprotective effects.","Food supplement that may help stimulate growth of brain cells and improve blood flow in the brain. Supports overall brain health, cognitive function, and cerebral circulation.",1 capsule daily with meals. 30 capsules per box provides one month supply.,"Astragalus membranaceus (Huang Qi), Salvia miltiorrhiza (Dan Shen), Paeonia lactiflora (Bai Shao), Ligusticum chuanxiong (Chuan Xiong), Angelica sinensis (Dang Gui), Carthamus tinctorius (Hong Hua), Prunus persica (Tao Ren), Polygala tenuifolia (Yuan Zhi), Acorus tatarinowii (Shi Chang Pu)","For adults only. Not recommended for children, pregnant women, and lactating mothers. This is a food supplement and not a medicine - not intended to diagnose, treat, cure, or prevent any disease. Best results when combined with healthy lifestyle, balanced diet, and regular exercise.","Children under 18 years, pregnancy, breastfeeding, known allergy to any herbal ingredient",Consult healthcare provider before use if taking medications or have existing medical conditions. Discontinue use if adverse reactions occur. Keep out of reach of children.
Vas8,Valsartan,Angiotensin II Receptor Blocker (ARB) / Antihypertensive,80mg (1 box),1400,1120,Antihypertensive,"Vas8 (Valsartan) is an angiotensin II receptor blocker used to manage hypertension and reduce cardiovascular risk. It works by preventing angiotensin II from binding to AT1 receptors, thereby reducing blood pressure and providing cardiovascular protection.","Selectively blocks angiotensin receptor 1 (AT1), preventing angiotensin II from exerting hypertensive effects including vasoconstriction, aldosterone synthesis, cardiac stimulation, and sodium reabsorption. This leads to vasodilation, reduced blood pressure, decreased cardiac workload, improved cardiac output, and prevention of ventricular hypertrophy.",Management of hypertension (high blood pressure). May be used alone or in combination with other antihypertensive agents. Also indicated for heart failure and post-myocardial infarction management to improve survival and reduce hospitalizations.,"Initial: 80mg once daily. May increase to 160-320mg daily based on blood pressure response. Take consistently at same time each day, with or without food.",,"Blood pressure reduction helps prevent strokes, heart attacks, and kidney problems. May cause dizziness initially as body adjusts - rise slowly from sitting/lying position. Full antihypertensive effect seen within 2-4 weeks. Do not discontinue without consulting physician.",Pregnancy (especially 2nd and 3rd trimesters) - can cause fetal harm or death. Hypersensitivity to valsartan. Severe hepatic impairment. Do not use with aliskiren in diabetic patients.,"Monitor kidney function and potassium levels regularly. May cause hyperkalemia (high potassium). Use caution in patients with renal artery stenosis, severe renal impairment, or volume depletion. Avoid potassium supplements unless directed by physician."
Vas8,Valsartan,Angiotensin II Receptor Blocker (ARB) / Antihypertensive,80mg (30 tablets),420,336,Antihypertensive,"Vas8 (Valsartan) is an angiotensin II receptor blocker used to manage hypertension and reduce cardiovascular risk. It works by preventing angiotensin II from binding to AT1 receptors, thereby reducing blood pressure and providing cardiovascular protection.","Selectively blocks angiotensin receptor 1 (AT1), preventing angiotensin II from exerting hypertensive effects including vasoconstriction, aldosterone synthesis, cardiac stimulation, and sodium reabsorption. This leads to vasodilation, reduced blood pressure, decreased cardiac workload, improved cardiac output, and prevention of ventricular hypertrophy.",Management of hypertension (high blood pressure). May be used alone or in combination with other antihypertensive agents. Also indicated for heart failure and post-myocardial infarction management to improve survival and reduce hospitalizations.,"Initial: 80mg once daily. May increase to 160-320mg daily based on blood pressure response. Take consistently at same time each day, with or without food.",,"Blood pressure reduction helps prevent strokes, heart attacks, and kidney problems. May cause dizziness initially as body adjusts - rise slowly from sitting/lying position. Full antihypertensive effect seen within 2-4 weeks. Do not discontinue without consulting physician.",Pregnancy (especially 2nd and 3rd trimesters) - can cause fetal harm or death. Hypersensitivity to valsartan. Severe hepatic impairment. Do not use with aliskiren in diabetic patients.,"Monitor kidney function and potassium levels regularly. May cause hyperkalemia (high potassium). Use caution in patients with renal artery stenosis, severe renal impairment, or volume depletion. Avoid potassium supplements unless directed by physician."
Recox,Celecoxib,COX-2 Selective Inhibitor / Nonsteroidal Anti-Inflammatory Drug (NSAID),200mg (1 box),4900,3920,Anti-inflammatory,Recox (Celecoxib) is a selective COX-2 inhibitor NSAID that provides effective pain relief and anti-inflammatory action for various arthritic conditions and acute pain. It offers the benefits of traditional NSAIDs with potentially reduced gastrointestinal side effects due to its selective mechanism.,"Selectively inhibits cyclooxygenase-2 (COX-2) enzyme while sparing COX-1, reducing synthesis of prostaglandins (PGE2, PGI2, TXA2, PGD2, PGF2) involved in pain and inflammation pathways. This 10-20 times selectivity for COX-2 provides analgesic, anti-inflammatory, and antipyretic effects with theoretically lower risk of gastric ulceration compared to non-selective NSAIDs.","Rheumatoid arthritis, osteoarthritis, acute gouty arthritis, ankylosing spondylitis, acute pain, musculoskeletal pain, and dysmenorrhea (painful menstruation).","Osteoarthritis: 200mg daily as single dose or 100mg twice daily. Rheumatoid arthritis: 100-200mg twice daily. Acute pain: 400mg initial dose, then 200mg as needed. Take with food or milk.",,Benefits typically seen within 1 hour. Use lowest effective dose for shortest duration to minimize cardiovascular and GI risks. May take several days for full anti-inflammatory effect in chronic conditions. Take with food to reduce stomach upset.,"Hypersensitivity to celecoxib, sulfonamides, aspirin or other NSAIDs. History of asthma, urticaria, or allergic reactions after taking aspirin or NSAIDs. Post-operative pain in coronary artery bypass graft (CABG) surgery. Active GI bleeding or peptic ulcer disease.","Increased risk of serious cardiovascular thrombotic events, myocardial infarction, and stroke - risk may increase with duration of use and in patients with cardiovascular disease. May cause serious GI adverse events including bleeding, ulceration, and perforation. Monitor blood pressure regularly. Use caution in renal or hepatic impairment, heart failure, or fluid retention."
Recox,Celecoxib,COX-2 Selective Inhibitor / Nonsteroidal Anti-Inflammatory Drug (NSAID),200mg (30 capsules),1470,1176,Anti-inflammatory,Recox (Celecoxib) is a selective COX-2 inhibitor NSAID that provides effective pain relief and anti-inflammatory action for various arthritic conditions and acute pain. It offers the benefits of traditional NSAIDs with potentially reduced gastrointestinal side effects due to its selective mechanism.,"Selectively inhibits cyclooxygenase-2 (COX-2) enzyme while sparing COX-1, reducing synthesis of prostaglandins (PGE2, PGI2, TXA2, PGD2, PGF2) involved in pain and inflammation pathways. This 10-20 times selectivity for COX-2 provides analgesic, anti-inflammatory, and antipyretic effects with theoretically lower risk of gastric ulceration compared to non-selective NSAIDs.","Rheumatoid arthritis, osteoarthritis, acute gouty arthritis, ankylosing spondylitis, acute pain, musculoskeletal pain, and dysmenorrhea (painful menstruation).","Osteoarthritis: 200mg daily as single dose or 100mg twice daily. Rheumatoid arthritis: 100-200mg twice daily. Acute pain: 400mg initial dose, then 200mg as needed. Take with food or milk.",,Benefits typically seen within 1 hour. Use lowest effective dose for shortest duration to minimize cardiovascular and GI risks. May take several days for full anti-inflammatory effect in chronic conditions. Take with food to reduce stomach upset.,"Hypersensitivity to celecoxib, sulfonamides, aspirin or other NSAIDs. History of asthma, urticaria, or allergic reactions after taking aspirin or NSAIDs. Post-operative pain in coronary artery bypass graft (CABG) surgery. Active GI bleeding or peptic ulcer disease.","Increased risk of serious cardiovascular thrombotic events, myocardial infarction, and stroke - risk may increase with duration of use and in patients with cardiovascular disease. May cause serious GI adverse events including bleeding, ulceration, and perforation. Monitor blood pressure regularly. Use caution in renal or hepatic impairment, heart failure, or fluid retention."
Pregabalin (Gabi),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,75mg (1 box),1680,1344,Neuropathic Pain,"Pregabalin (Gabi) is an effective medication for neuropathic pain, fibromyalgia, and generalized anxiety disorder. It works by modulating calcium channels in the nervous system to reduce pain signal transmission and excessive neuronal excitability, providing relief where traditional pain medications may be ineffective.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction. Does not bind to GABA receptors directly.","Peripheral and central neuropathic pain (including diabetic neuropathy, post-herpetic neuralgia, spinal cord injury pain), fibromyalgia, and generalized anxiety disorder (GAD). Particularly effective for burning, shooting, or electric-like pain sensations.",Starting dose: 75mg twice daily or 50mg three times daily. May gradually increase to 150-600mg daily in divided doses based on response and tolerability. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving or operating machinery until you know how it affects you. Can improve sleep quality and reduce anxiety in addition to pain relief. Do not stop abruptly - gradual dose reduction over at least 1 week required to prevent withdrawal symptoms (insomnia, nausea, headache, anxiety). Full therapeutic effect may take several weeks.",Hypersensitivity to pregabalin or gabapentin,"May cause physical and psychological dependence. Dose adjustment required in renal impairment - may need 25-75% reduction based on creatinine clearance. May cause weight gain (average 2-6 kg) and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely, especially during initial therapy. May cause visual disturbances - report changes in vision. Avoid alcohol - increases sedation and dizziness. May increase risk of respiratory depression when combined with opioids or CNS depressants."
Pregabalin (Gabi),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,75mg (10 capsules),300,240,Neuropathic Pain,"Pregabalin (Gabi) is an effective medication for neuropathic pain, fibromyalgia, and generalized anxiety disorder. It works by modulating calcium channels in the nervous system to reduce pain signal transmission and excessive neuronal excitability, providing relief where traditional pain medications may be ineffective.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction. Does not bind to GABA receptors directly.","Peripheral and central neuropathic pain (including diabetic neuropathy, post-herpetic neuralgia, spinal cord injury pain), fibromyalgia, and generalized anxiety disorder (GAD). Particularly effective for burning, shooting, or electric-like pain sensations.",Starting dose: 75mg twice daily or 50mg three times daily. May gradually increase to 150-600mg daily in divided doses based on response and tolerability. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving or operating machinery until you know how it affects you. Can improve sleep quality and reduce anxiety in addition to pain relief. Do not stop abruptly - gradual dose reduction over at least 1 week required to prevent withdrawal symptoms (insomnia, nausea, headache, anxiety). Full therapeutic effect may take several weeks.",Hypersensitivity to pregabalin or gabapentin,"May cause physical and psychological dependence. Dose adjustment required in renal impairment - may need 25-75% reduction based on creatinine clearance. May cause weight gain (average 2-6 kg) and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely, especially during initial therapy. May cause visual disturbances - report changes in vision. Avoid alcohol - increases sedation and dizziness. May increase risk of respiratory depression when combined with opioids or CNS depressants."
Pregabalin (Gabi),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,75mg (1 capsule),30,24,Neuropathic Pain,"Pregabalin (Gabi) is an effective medication for neuropathic pain, fibromyalgia, and generalized anxiety disorder. It works by modulating calcium channels in the nervous system to reduce pain signal transmission and excessive neuronal excitability, providing relief where traditional pain medications may be ineffective.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction. Does not bind to GABA receptors directly.","Peripheral and central neuropathic pain (including diabetic neuropathy, post-herpetic neuralgia, spinal cord injury pain), fibromyalgia, and generalized anxiety disorder (GAD). Particularly effective for burning, shooting, or electric-like pain sensations.",Starting dose: 75mg twice daily or 50mg three times daily. May gradually increase to 150-600mg daily in divided doses based on response and tolerability. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving or operating machinery until you know how it affects you. Can improve sleep quality and reduce anxiety in addition to pain relief. Do not stop abruptly - gradual dose reduction over at least 1 week required to prevent withdrawal symptoms (insomnia, nausea, headache, anxiety). Full therapeutic effect may take several weeks.",Hypersensitivity to pregabalin or gabapentin,"May cause physical and psychological dependence. Dose adjustment required in renal impairment - may need 25-75% reduction based on creatinine clearance. May cause weight gain (average 2-6 kg) and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely, especially during initial therapy. May cause visual disturbances - report changes in vision. Avoid alcohol - increases sedation and dizziness. May increase risk of respiratory depression when combined with opioids or CNS depressants."
Pregabalin (Lyrica),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,50mg (1 box),2520,2016,Neuropathic Pain,"Pregabalin (Lyrica) is the branded formulation of pregabalin, clinically proven for managing neuropathic pain, fibromyalgia, and anxiety disorders. It provides effective pain relief by modulating nerve signal transmission and enhancing the body's natural pain-fighting mechanisms, offering hope for patients with difficult-to-treat pain conditions.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction.","Neuropathic pain associated with diabetic peripheral neuropathy, post-herpetic neuralgia (shingles pain), spinal cord injury, fibromyalgia, and generalized anxiety disorder (GAD). Effective for chronic pain that has not responded to other treatments.",Starting dose: 50mg three times daily or 75mg twice daily. May increase to 300-600mg daily in 2-3 divided doses based on condition and response. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving until you know how it affects you. Clinical studies show significant pain reduction (>30%) in approximately 1 in 10 patients, with better response rates (up to 40%) at higher doses. Also improves sleep, anxiety, and general patient status. Benefits typically seen within 1 week, with maximum effect by 2-4 weeks.",Hypersensitivity to pregabalin or gabapentin,May cause physical and psychological dependence - classified as controlled substance in many countries. Dose adjustment required in renal impairment. May cause weight gain and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely. May cause blurred vision or visual disturbances - report to physician. Avoid alcohol. May enhance effects of opioids and increase risk of respiratory depression. Gradual tapering required when discontinuing - do not stop abruptly.
Pregabalin (Lyrica),Pregabalin,Gabapentinoid / Anticonvulsant / Neuropathic Pain Agent,50mg (10 capsules),450,360,Neuropathic Pain,"Pregabalin (Lyrica) is the branded formulation of pregabalin, clinically proven for managing neuropathic pain, fibromyalgia, and anxiety disorders. It provides effective pain relief by modulating nerve signal transmission and enhancing the body's natural pain-fighting mechanisms, offering hope for patients with difficult-to-treat pain conditions.","Binds to the alpha-2-delta subunit of voltage-gated calcium channels in the central nervous system, reducing calcium influx and subsequently decreasing the release of excitatory neurotransmitters (glutamate, substance P, norepinephrine). Increases GABA production, which aids in pain modulation, sleep regulation, and anxiety reduction.","Neuropathic pain associated with diabetic peripheral neuropathy, post-herpetic neuralgia (shingles pain), spinal cord injury, fibromyalgia, and generalized anxiety disorder (GAD). Effective for chronic pain that has not responded to other treatments.",Starting dose: 50mg three times daily or 75mg twice daily. May increase to 300-600mg daily in 2-3 divided doses based on condition and response. Maximum: 600mg/day. Take with or without food.,,"May cause dizziness and drowsiness - avoid driving until you know how it affects you. Clinical studies show significant pain reduction (>30%) in approximately 1 in 10 patients, with better response rates (up to 40%) at higher doses. Also improves sleep, anxiety, and general patient status. Benefits typically seen within 1 week, with maximum effect by 2-4 weeks.",Hypersensitivity to pregabalin or gabapentin,May cause physical and psychological dependence - classified as controlled substance in many countries. Dose adjustment required in renal impairment. May cause weight gain and peripheral edema. Increased risk of suicidal thoughts and behavior - monitor mental health closely. May cause blurred vision or visual disturbances - report to physician. Avoid alcohol. May enhance effects of opioids and increase risk of respiratory depression. Gradual tapering required when discontinuing - do not stop abruptly.
